Column1,company,experience,min_exp,max_exp,salary,location,joblisted(days_ago),postedin,rating,reviews_count,details,salary_data_provide_by,base_salary,max_salary,salary_disclosed,Exp_Pattern
Data Analyst - R/Python (3-6 yrs),Kudos India Pvt Ltd,3-6 Yrs,3,6,Not Disclosed,Mumbai,10,hirist,4.8,4,"Data Analyst, R, Python",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Engineer/ Data Analyst,Chryselys,2-7 Yrs,2,7,₹ 5 - 13L/yr (AmbitionBox estimate),"Chennai, Hyderabad / Secunderabad",13,Naukri,3.8,21,"Payer, python, Data Engineering",Estimated by Ambition Box,500000,1300000,1,Range (X-Y yrs)
Thoucentric - Data Analyst (0-1 yrs),Thoucentric Technology Pvt. Ltd.,0-1 Yrs,0,1,Not Disclosed,Bangalore / Bengaluru,30,hirist,3.8,89,"Data Analyst, Data Analytics, Data Governance",Unknown,360000,1330000,0,Range (X-Y yrs)
Thoucentric -  Data Analyst (2-5 yrs),Thoucentric Technology Private Limited,2-5 Yrs,2,5,Not Disclosed,Bangalore / Bengaluru,30,iimjobs,3.8,89,"Data Analytics, Analytics, Data Management",Unknown,360000,1330000,0,Range (X-Y yrs)
Priority Technology Holdings - Data Analyst - SQL/Looker/Tableau (2-5 yrs),Priority Technology Holdings,2-5 Yrs,2,5,Not Disclosed,Chandigarh,3,hirist,3.1,46,"Data Analyst, Data Analytics, Reporting Analytics",Unknown,360000,1330000,0,Range (X-Y yrs)
Junior Data Analyst,super scholar,0-6 Yrs,0,6,Not Disclosed,Mumbai,6,Naukri,3.8,11,"Data analysis, Excel, Analytical",Unknown,360000,1330000,0,Range (X-Y yrs)
Senior Data Analyst,PVH,4-6 Yrs,4,6,Not Disclosed,"Chennai, Pune, New Delhi
													+4 more",150,Naukri,4.3,61,"Supply chain, Microstrategy, Logistic regression",Unknown,360000,1330000,0,Range (X-Y yrs)
SQL Data/BI Analyst - Mumbai (Dadar),Quosphere,3-8 Yrs,3,8,₹ 6 - 8L/yr,Mumbai,6,Naukri,2.5,20,"Power Bi, Data Extraction, SQL Queries",Salary Listed by Company,600000,800000,1,Range (X-Y yrs)
Data Analyst,Clairvoyant India Pvt. Ltd,2-6 Yrs,2,6,Not Disclosed,Hyderabad / Secunderabad,60,Naukri,4,73,"Python, Information technology, Analytical",Unknown,360000,1330000,0,Range (X-Y yrs)
Sr. Data Analyst,Clairvoyant India Pvt. Ltd,5-8 Yrs,5,8,Not Disclosed,Hyderabad / Secunderabad,60,Naukri,4,73,"Python, Troubleshooting, Data modeling",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst,DAZN Group,4-8 Yrs,4,8,Not Disclosed,Hyderabad / Secunderabad,60,Naukri,4.5,11,"SQL, Python, Business intelligence",Unknown,360000,1330000,0,Range (X-Y yrs)
Data Analyst - Tableau/Power BI (5-10 yrs),Varite India,5-10 Yrs,5,10,Not Disclosed,Bangalore / Bengaluru,30,hirist,3.7,162,"Data Infrastructure, Snowflake DB, DB",Unknown,360000,1330000,0,Range (X-Y yrs)
